Track Name,Artist Names,Album Name,Album Artist Names,Album Release Date,Disc Number,Track Number,Track Duration ms,Explicit,Popularity,ISRC,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
I'd Die To Be With You Tonight - Remastered,Jimmy Barnes,For The Working Class Man,Jimmy Barnes,5/22/85,1,1,239912,FALSE,31,AULI00509820,australian rock,0.566,0.956,9,-4.159,1,0.0819,0.0167,0.0000162,0.0175,0.531,115.063,4,,Bloodlines,"C 2020 Bloodlines, P 2020 Bloodlines"
Boogie Shoes,KC & The Sunshine Band,KC & the Sunshine Band... and More,KC & The Sunshine Band,12/13/94,1,4,132160,FALSE,56,USRH10175349,"disco,mellow gold,new wave pop,soft rock,soul",0.93,0.767,4,-11.646,1,0.0579,0.454,0.192,0.0692,0.972,119.538,4,,Rhino,"C © 2004 Warner Strategic Marketing., P ℗ 2004 Warner Strategic Marketing."
Memories,Maroon 5,Memories,Maroon 5,9/20/19,1,1,189486,FALSE,31,USUM71913350,pop,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,4,,222 Records/Interscope Records,"C © 2019 Interscope Records (222 Records), P ℗ 2019 Interscope Records (222 Records)"
The First Time Ever I Saw Your Face,Roberta Flack,First Take,Roberta Flack,1969,1,6,260666,FALSE,66,USAT20107944,"adult standards,disco,quiet storm,soft rock,soul,vocal jazz",0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,4,,Atlantic Records,"C © 1995 Atlantic Record Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 1995 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
Sometimes,Alex Lloyd,Alex Lloyd,Alex Lloyd,10/9/05,1,6,258346,FALSE,14,AUSM00500161,"australian alternative rock,australian rock",0.433,0.436,9,-6.481,1,0.0264,0.0857,0,0.168,0.196,101.199,4,,Epic,P (P) 2005 SONY BMG MUSIC ENTERTAINMENT (AUSTRALIA) PTY LIMITED
When You Walk in the Room,Paul Carrack,One Good Reason,Paul Carrack,11/1/87,1,2,211333,FALSE,0,GBAYK8700052,,0.614,0.599,6,-12.27,0,0.0288,0.13,0,0.2,0.594,113.108,4,,Chrysalis Records,"C 2016 Chrysalis Records Limited, P 1987 Chrysalis Records Limited"
Same Old Love,Selena Gomez,Same Old Love,Selena Gomez,1/1/15,1,1,229013,FALSE,0,USUM71510437,"pop,post-teen pop",0.672,0.573,11,-3.973,0,0.0307,0.021,0,0.147,0.428,98.043,4,,Universal Music Ltd.,"C (C) 2015 Interscope Records, P (P) 2015 Interscope Records"
I Think We're Alone Now,Tiffany,Tiffany,Tiffany,1/1/87,1,9,228840,FALSE,0,USMC18722580,"new wave pop,soft rock",0.75,0.723,7,-12.117,1,0.0485,0.0247,0.00414,0.0215,0.946,130.515,4,,Universal Music Group,"C © 1987 MCA Records Inc., P ℗ 1987 UMG Recordings, Inc."
Secret,Madonna,Celebration (double disc version),Madonna,9/18/09,1,15,268413,FALSE,40,USWB10903612,"dance pop,pop",0.769,0.703,1,-5.705,1,0.027,0.0581,0.00000223,0.114,0.453,100.094,4,,Warner Records,"C © 2009 Warner Records Inc., P ℗ 2009 This Compilation P2009 Warner Records Inc."
Hot Hot Hot,Arrow,A Caribbean Party: The Best of Arrow,Arrow,6/5/13,1,1,404426,FALSE,43,GB5KW1300306,calypso,0.759,0.694,5,-9.589,1,0.0428,0.00185,0.00056,0.0552,0.835,120.025,4,,Chrysalis Copyrights,"C © 2013 Chrysalis Copyrights Ltd., a BMG Company, P ℗ 2013 Chrysalis Copyrights Ltd., a BMG Company"
Life Goes On,E^ST,Life Goes On,E^ST,9/29/17,1,1,210455,FALSE,51,AUWA01700192,"australian indie,australian pop",0.701,0.605,0,-6.024,1,0.0297,0.653,0,0.0753,0.505,106.968,4,,WM Australia,"C © 2017 Warner Music Australia Pty Limited, P ℗ 2017 Warner Music Australia Pty Limited"
The Prize (feat. Bridgette Amofah),"The Kite String Tangle, Bridgette Amofah",The Kite String Tangle,The Kite String Tangle,7/14/17,1,3,214333,FALSE,29,AUWA01700149,"aussietronica,australian indie,brisbane indie",0.7,0.722,6,-4.728,0,0.0384,0.316,0.00355,0.104,0.408,123.986,4,,WM Australia,"C © 2017 The Kite String Tangle Pty Ltd, P ℗ 2017 The Kite String Tangle Pty Ltd. Marketed and distributed by Warner Music Australia Pty Ltd under exclusive licence"
Get Busy,Sean Paul,Dutty Rock,Sean Paul,11/12/02,1,5,211666,FALSE,16,USAT20202575,"dance pop,dancehall,pop,pop rap",0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,4,,Atlantic Records,"C © 2002 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2003 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States except track 6 (P) 2003 Sony Music Entertainment Inc."
Black Is Black,Belle Epoque,Greatest Hits (Original Recordings),Belle Epoque,11/20/11,1,1,175120,FALSE,20,DEA371241080,,0.687,0.569,5,-11.413,1,0.0673,0.287,0.013,0.261,0.963,133.204,4,,Belle Epoque,"C 2011 , Baierle Records, P 2011 Baierle Records"
Raspberry Beret,Prince,Around the World in a Day,Prince,4/22/85,1,4,215173,FALSE,69,USWB19902876,"funk,funk rock,minneapolis sound,rock,synth funk",0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,4,,Rhino/Warner Records,"C © 1985 NPG Records, Inc. under exclusive license to Warner Records Inc., P ℗ 1985 NPG Records, Inc. under exclusive license to Warner Records Inc."
Rude,MAGIC!,Don't Kill the Magic,MAGIC!,6/25/14,1,1,224840,FALSE,85,CAV161300016,"pop,reggae fusion",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4,,Latium Records/RCA Records,P (P) 2014 Sony Music Entertainment International Limited
The Way We Were,Barbra Streisand,The Way We Were,Barbra Streisand,1974-01,1,4,211093,FALSE,65,USSM10024187,"adult standards,operatic pop",0.264,0.32,9,-11.716,1,0.0325,0.885,0.00141,0.134,0.171,138.108,3,,Columbia,P (P) 1974 Sony Music Entertainment
Rush - Single Version,Big Audio Dynamite,Planet Bad Greatest Hits,Big Audio Dynamite,9/12/95,1,11,188373,FALSE,38,USSM19100039,"dance rock,new romantic,new wave,new wave pop",0.777,0.88,9,-10.057,1,0.0546,0.0916,0,0.332,0.71,124.037,4,,Columbia,"P (P) 1985, 1986, 1988, 1989, 1990, 1991, 1994, 1995 SONY BMG MUSIC ENTERTAINMENT,1995 Radioactive Records"
The Archer,Taylor Swift,Lover,Taylor Swift,8/23/19,1,5,211240,FALSE,84,USUG11901475,pop,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,4,,Taylor Swift,"C © 2019 Taylor Swift, P ℗ 2019 Taylor Swift"
deja vu,Olivia Rodrigo,deja vu,Olivia Rodrigo,4/1/21,1,1,215507,TRUE,18,USUG12101240,pop,0.439,0.61,9,-7.236,1,0.116,0.593,0.0000107,0.341,0.172,181.088,4,,Olivia Rodrigo PS,"C © 2021 Olivia Rodrigo, under exclusive license to Geffen Records, P ℗ 2021 Olivia Rodrigo, under exclusive license to Geffen Records"
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,Distant Light (1999 Remaster),The Hollies,10/8/71,1,7,199200,FALSE,73,GBGYU9900019,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock",0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4,,Parlophone UK,"C © 2000 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 1999 The Hollies Ltd under exclusive licence to Parlophone Records Ltd"
U + Ur Hand,P!nk,I'm Not Dead,P!nk,3/31/06,1,9,214386,TRUE,0,USLF20500242,"dance pop,pop",0.706,0.889,0,-3.692,1,0.0556,0.00125,0,0.033,0.882,141.025,4,,LaFace Records,"P (P) 2006 RCA/JIVE Label Group, a unit of Sony Music Entertainment"
She Wolf (Falling to Pieces) [feat. Sia],"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),David Guetta,12/7/12,1,3,222500,FALSE,71,GB28K1200043,"big room,dance pop,edm,pop,pop dance,australian dance,australian pop,pop",0.492,0.857,7,-2.634,1,0.0655,0.0841,0.00000782,0.344,0.393,129.973,4,,Parlophone (France),"C © 2012 What A Music Ltd., licence exclusive Parlophone Music France, P ℗ 2012 What A Music Ltd., licence exclusive Parlophone Music France"
Pump It,Black Eyed Peas,Monkey Business,Black Eyed Peas,1/1/05,1,1,213066,FALSE,0,USIR10500407,"dance pop,pop,pop rap",0.648,0.931,1,-3.15,0,0.181,0.00937,0,0.752,0.744,153.649,4,,Universal Music Group,"C © 2005 Interscope Records, P ℗ 2005 Interscope Records"
You've Got A Way,Shania Twain,Come On Over,Shania Twain,1997,1,8,199200,FALSE,0,USMR19887506,"canadian country,canadian pop,contemporary country,country,country dawn",0.555,0.564,9,-7.305,1,0.0305,0.36,0,0.244,0.266,134.16,4,,Universal Music Group,"C © 2009 Mercury Records, P ℗ 2009 Mercury Records"
"""The Take Over, The Breaks Over""",Fall Out Boy,Infinity On High (Deluxe Edition),Fall Out Boy,1/1/07,1,2,213586,FALSE,0,USUM70700329,"emo,modern rock,pop,pop punk,rock",0.609,0.917,9,-2.563,1,0.0477,0.00614,0.0000196,0.0775,0.67,149.948,4,,Universal Music Group,"C © 2007 The Island Def Jam Music Group, P ℗ 2007 The Island Def Jam Music Group"
The Chain - 2004 Remaster,Fleetwood Mac,Rumours,Fleetwood Mac,2/4/77,1,7,269813,FALSE,67,USWB10400053,"album rock,classic rock,rock,soft rock,yacht rock",0.522,0.755,9,-6.95,1,0.0524,0.0517,0.0000663,0.0781,0.637,151.796,4,,Rhino/Warner Records,"C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
Down in the Boondocks,Billy Joe Royal,Down in the Boondocks,Billy Joe Royal,1965,1,6,153146,FALSE,46,USSM11501552,"bubblegum pop,classic garage rock,merseybeat",0.675,0.588,9,-11.031,1,0.0457,0.492,0.00000945,0.0953,0.94,82.949,4,,Columbia/Legacy,"P Originally released 1965. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
Mountain Sound,Of Monsters and Men,My Head Is An Animal,Of Monsters and Men,1/1/12,1,3,211453,FALSE,66,USUM71202068,"folk-pop,metropopolis,modern rock,stomp and holler",0.379,0.878,1,-4.338,0,0.0359,0.042,0.00431,0.146,0.381,102.023,4,,Universal Records,"C © 2012 SKRIMSL ehf, nder exclusive license to Universal Republic Records, a Division of UMG Recordings, Inc., P ℗ 2012 SKRIMSL ehf, nder exclusive license to Universal Republic Records, a Division of UMG Recordings, Inc."
If I Only Had Time,John Rowles,True 60s Love (3CD Set),Various Artists,1/1/06,1,2,167426,FALSE,0,USMC10201342,classic nz pop,0.37,0.228,5,-14.436,1,0.034,0.438,0.00000482,0.112,0.284,81.223,4,,Universal Music,"C © 2006 Spectrum Music, P ℗ 2006 Spectrum Music"
Take It All,Adele,21,Adele,1/19/11,1,7,228213,FALSE,0,GBBKS1000347,"british soul,pop,pop soul,uk pop",0.411,0.267,0,-8.484,1,0.031,0.953,0,0.167,0.303,137.801,4,,XL Recordings/Columbia,P (P) 2011 XL Recordings Ltd
Dear Darlin',Olly Murs,Right Place Right Time,Olly Murs,11/23/12,1,4,206373,FALSE,0,GBARL1201982,"dance pop,pop,talent show",0.514,0.828,11,-4.672,0,0.0454,0.00626,0.00000873,0.119,0.34,124.008,4,,Epic,P (P) 2012 Sony Music Entertainment UK Limited
Because You Loved Me,Céline Dion,Falling Into You,Céline Dion,3/11/96,1,2,273066,FALSE,0,CAC220003047,canadian pop,0.611,0.507,1,-7.975,1,0.0305,0.304,0,0.107,0.175,119.92,4,,550 Music - Epic,P 1996 Sony Music Entertainment (Canada) Inc.
Candy Shop,"50 Cent, Olivia",The Massacre,50 Cent,3/3/05,1,7,208973,FALSE,46,USIR10500071,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",0.615,0.568,11,-8.023,1,0.465,0.0284,0.0000492,0.387,0.752,127.12,5,,Aftermath/Shady,"C © 2005 Shady Records/Aftermath Records/Interscope Records, P ℗ 2005 Shady Records/Aftermath Records/Interscope Records"
Lithium,Evanescence,The Open Door,Evanescence,1/1/06,1,4,224106,FALSE,67,USWU30600104,alternative metal,0.483,0.631,10,-3.826,0,0.0356,0.214,0,0.0974,0.212,117.988,4,,The Bicycle Music Company,"C © 2006 The Bicycle Music Company, P ℗ 2006 The Bicycle Music Company"
This Is Who I Am,Vanessa Amorosi,Hazardous,Vanessa Amorosi,1/1/09,1,1,205560,FALSE,0,AUUM70902461,"australian dance,australian pop,australian rock",0.583,0.959,9,-2.057,1,0.118,0.0435,0,0.131,0.564,146.071,4,,Universal Music Australia Pty. Ltd.,"C © 2009 Universal Music Australia Pty Ltd., P This Compilation ℗ 2009 Universal Music Australia Pty Ltd."
Splish Splash,Bobby Darin,Bobby Darin,Bobby Darin,1958,1,1,131719,FALSE,63,USEW10000020,"adult standards,easy listening,lounge,rock-and-roll,vocal jazz",0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,4,,Rhino Atlantic,"C © 2005 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing., P ℗ 2005 Atlantic Recording Corp. Manufactured & Marketed by Warner Strategic Marketing."
I Like To Move It (feat. The Mad Stuntman) - Radio Mix,"Reel 2 Real, The Mad Stuntman, Alex Natale DJ, Visnadi",I Like to Move It (feat. The Mad Stuntman) [2010 Mixes],Reel 2 Real,3/6/07,1,2,221951,FALSE,43,USSR39319202,"eurodance,hip house",0.832,0.877,1,-4.542,1,0.0528,0.00891,0.000389,0.122,0.57,122.947,4,,Strictly Rhythm Records,"C © 2010 BMG Rights Management (US) LLC, P ℗ 2010 BMG Rights Management (US) LLC"
Look Into My Eyes,Brando,Look Into My Eyes,Brando,1/10/20,1,1,154653,FALSE,0,NLF712000001,"dance pop,pop dance",0.791,0.541,1,-7.14,1,0.054,0.123,0.0000474,0.121,0.433,115.986,4,,Hussle Recordings AU,"C (C) 2020 Armada Music BV under exclusive license to Hussle Recordings a division of TMRW Music Pty Ltd, P (P) 2020 Armada Music BV under exclusive license to Hussle Recordings a division of TMRW Music Pty Ltd"
You've Got What It Takes,Marv Johnson,Marvelous Marv Johnson,Marv Johnson,1/30/13,1,2,171676,FALSE,4,FR6V81568137,"motown,southern soul",0.671,0.635,7,-8.825,1,0.0866,0.643,0,0.426,0.964,136.727,4,,Rumble Records,"C Rumble Records, P Rumble Records"
There's a Kind of Hush,New Vaudeville Band,The New Vaudeville Band,New Vaudeville Band,5/29/20,1,5,156933,FALSE,0,GBYDR1903476,"british invasion,vaudeville",0.759,0.858,1,-4.309,1,0.0378,0.263,0.000425,0.0642,0.915,129.631,4,,Tic Toc Music,"C 2020 Tic Toc Music, P 2020 Tic Toc Music"
Candy,Mandy Moore,The Best of Mandy Moore,Mandy Moore,11/16/04,1,1,234373,FALSE,42,USSM19901378,"dance pop,neo mellow,post-teen pop",0.818,0.849,7,-4.185,1,0.0905,0.164,0.0000436,0.165,0.638,100.503,4,,Epic,"P (P) 1999, 2000, 2001, 2002, 2003 SONY BMG MUSIC ENTERTAINMENT"
The Man,Aloe Blacc,Lift Your Spirit,Aloe Blacc,1/1/13,1,2,255906,FALSE,0,USUM71312880,"pop soul,r&b",0.531,0.77,11,-7.205,0,0.0434,0.0332,0,0.235,0.504,85.996,4,,Universal Music Group,"C © 2013 Aloe Blacc Recording, Inc., under exclusive license to XIX Recordings LLC/Interscope Records, P ℗ 2013 Aloe Blacc Recording, Inc., under exclusive license to XIX Recordings LLC/Interscope Records"
It Was Always You,Maroon 5,It Was Always You,Maroon 5,7/29/14,1,1,238333,FALSE,0,USUM71410331,pop,0.61,0.756,11,-6.567,1,0.0441,0.0731,0.00000132,0.1,0.31,103.982,4,,Universal Music Group,"C © 2014 Interscope Records, P ℗ 2014 Interscope Records"
Orinoco Flow - 2009 Remaster,Enya,Watermark,Enya,9/5/88,1,7,266200,FALSE,65,GBAHT0900037,"celtic,middle earth,operatic pop",0.692,0.466,0,-10.741,1,0.0292,0.743,0.109,0.1,0.561,114.999,4,,WM UK,"C © 2009 Warner Music UK Ltd, P ℗ 2009 Warner Music UK Ltd"
Young And Beautiful [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix Radio Edit,"Lana Del Rey, Cedric Gervais, Carlos Cid",NOW Fitness 2014,Various Artists,1/1/14,1,13,227114,FALSE,0,GBUM71305235,"art pop,pop,edm,electro house,pop dance,progressive electro house,progressive house",0.586,0.866,11,-4.977,0,0.0515,0.0486,0.000596,0.387,0.356,126.021,4,,Universal Music Australia Pty. Ltd.,"C © 2014 Universal Music Australia Pty Ltd., P This Compilation ℗ 2014 Universal Music Australia Pty Ltd."
Bad Medicine,Bon Jovi,New Jersey (Deluxe Edition),Bon Jovi,9/13/88,1,2,316706,FALSE,73,USPR39402228,"glam metal,rock",0.555,0.973,9,-3.804,1,0.035,0.048,0,0.0853,0.805,118.642,4,,Island Records,"C © 2014 The Island Def Jam Music Group, P This Compilation ℗ 2014 The Island Def Jam Music Group"
Art of Love (feat. Jordin Sparks),"Guy Sebastian, Jordin Sparks",Like It Like That,Guy Sebastian,10/23/09,1,3,238786,FALSE,51,AUBM00900390,"australian pop,australian talent show,dance pop,pop,post-teen pop",0.541,0.724,4,-3.966,1,0.0402,0.024,0,0.133,0.532,137.971,4,,Sony Music Entertainment,P (P) 2009 Sony Music Entertainment Australia Pty Ltd.
My My My!,Troye Sivan,Bloom,Troye Sivan,8/31/18,1,1,204726,FALSE,68,AUUM71701255,"australian pop,pop,viral pop",0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,4,,EMI Recorded Music Australia Pty Ltd,"C © 2019 Universal Music Australia Pty Ltd., P ℗ 2019 Universal Music Australia Pty Ltd."
The Wild Boys,Duran Duran,Greatest,Duran Duran,11/9/98,1,12,257600,FALSE,59,GBAYE8400060,"album rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop",0.741,0.838,11,-7.622,0,0.0637,0.407,0,0.138,0.586,115.689,4,,Parlophone UK,"C © 1998 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 1998 Parlophone Records Ltd, a Warner Music Group Company"
Place Your Hands,Reef,Glow,Reef,1/1/97,1,1,218426,FALSE,58,GBBBL9600127,britpop,0.507,0.978,2,-4.521,1,0.0864,0.0303,0,0.238,0.535,109.369,4,,Epic,P (P) 1997 Sony Music Entertainment UK Limited
"Mama Do (Uh Oh, Uh Oh)",Pixie Lott,Turn It Up,Pixie Lott,1/1/09,1,1,196520,FALSE,0,GBUM70819294,"dance pop,post-teen pop,talent show",0.703,0.875,3,-4.84,0,0.0811,0.129,0,0.319,0.617,120.034,4,,Universal Music Group,"C © 2009 Mercury Records Limited, P ℗ 2009 Mercury Records Limited"
Glycerine,Bush,Sixteen Stone (Remastered),Bush,12/6/94,1,10,266493,FALSE,0,QM7YK1400024,"alternative metal,alternative rock,grunge,nu metal,post-grunge,rock",0.447,0.337,5,-11.402,1,0.0325,0.0365,0.00124,0.0945,0.0827,114.422,4,,Round Hill Music,P (P) 2014 Round Hill Records - Zuma Rock Records
Every Little Thing She Does Is Magic - Remastered 2003,The Police,Ghost In The Machine,The Police,10/2/81,1,2,260573,FALSE,0,GBAAM0201127,"album rock,classic rock,permanent wave,rock",0.535,0.745,2,-10.123,1,0.0335,0.127,0.0792,0.179,0.376,163.913,4,,A&M,"C © 2003 A&M Records, P ℗ 2003 A&M Records"
Separate Ways,Elvis Presley,Elvis (Fool),Elvis Presley,7/16/73,1,11,156440,FALSE,44,USRC17308396,"rock-and-roll,rockabilly",0.462,0.371,4,-15.326,1,0.0443,0.901,0.0092,0.133,0.506,89.976,4,,RCA/Legacy,P (P) 1973 Sony Music Entertainment
Celebrity Skin,Hole,Celebrity Skin,Hole,1/1/98,1,1,162493,FALSE,0,USGF19816401,"alternative rock,grunge",0.443,0.896,9,-6.163,1,0.0457,0.0000135,0.000101,0.369,0.733,134.145,4,,Geffen*,"C © 1998 Geffen Records Inc., P ℗ 1998 UMG Recordings, Inc."
Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Tattoos,Jason Derulo,9/10/13,1,2,177685,TRUE,75,USWB11302648,"dance pop,pop,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",0.76,0.652,6,-7.321,1,0.232,0.0348,0,0.307,0.759,100.315,4,,Beluga Heights/Warner Records,"C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc."
Heard 'Em Say,"Kanye West, Adam Levine",Late Registration,Kanye West,8/30/05,1,2,203733,FALSE,40,USUM70502837,"chicago rap,hip hop,rap,deep talent show",0.741,0.703,7,-8.321,0,0.17,0.0557,0.0431,0.129,0.537,95.058,4,,Roc-A-Fella,"C © 2005 UMG Recordings, Inc., P ℗ 2005 UMG Recordings, Inc."
(You're The) Devil In Disguise,Elvis Presley,Elvis Forever: The Best of Elvis Presley,Elvis Presley,7/27/17,2,2,140306,FALSE,0,USRC16305834,"rock-and-roll,rockabilly",0.483,0.604,5,-13.413,1,0.126,0.542,0.000401,0.301,0.877,122.606,4,,RCA/Legacy,"P This compilation (P) 2017 RCA Records, a division of Sony Music Entertainment"
Push Up,Freestylers,Raw As F**k,Freestylers,3/26/04,1,6,279053,FALSE,50,NLML61400043,"big beat,breakbeat",0.844,0.779,0,-5.375,1,0.0572,0.0067,0.0064,0.0268,0.963,134.973,4,,Altra Moda Music,"C 2004 Altra Moda Music, P 2004 Altra Moda Music"
The Original High,Adam Lambert,The Original High (Deluxe Version),Adam Lambert,6/11/15,1,2,206053,FALSE,42,USWB11504815,"dance pop,idol,pop,post-teen pop",0.681,0.742,7,-5.655,0,0.0374,0.00747,0,0.0786,0.773,122.986,4,,Warner Records,"C © 2015 Warner Records Inc., P ℗ 2015 Warner Records Inc."
Are You With Me,Lost Frequencies,Are You With Me,Lost Frequencies,8/21/14,1,1,138013,FALSE,51,NLF711403495,"belgian edm,edm,pop dance,tropical house",0.763,0.608,5,-8.1,0,0.035,0.262,0.000025,0.12,0.394,121.02,4,,The Bearded Man (Armada),"C 2014 Armada Music B.V., P 2014 Armada Music B.V."
Check On It (feat. Bun B & Slim Thug),"Beyoncé, Bun B, Slim Thug",B'Day,Beyoncé,9/4/06,1,11,210453,FALSE,62,USSM10600137,"pop,r&b,dirty south rap,houston rap,crunk,dirty south rap",0.705,0.796,7,-6.845,1,0.267,0.0708,0,0.388,0.864,166.042,4,,Sony Urban Music/Columbia,P (P) 2006 SONY BMG MUSIC ENTERTAINMENT
Chances,Five For Fighting,Slice (iTunes Exclusive),Five For Fighting,3/2/10,1,4,215200,FALSE,0,USSM10904075,"neo mellow,piano rock,pop rock",0.401,0.802,10,-5.646,1,0.0291,0.0236,0,0.224,0.326,163.987,4,,Wind-up Records,"C 2009 Precision Records, Inc., P 2009 Precision Records, Inc."
Love in This Club (feat. Young Jeezy),"Usher, Jeezy",Here I Stand,Usher,5/27/08,1,2,259720,FALSE,75,USLF20800001,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,atl hip hop,crunk,dirty south rap,gangster rap,old school atlanta hip hop,rap,southern hip hop,trap",0.573,0.712,0,-5.976,1,0.0732,0.0572,0,0.167,0.346,140.012,4,,LaFace Records,P (P) 2008 LaFace Records
Move,Little Mix,Salute (The Deluxe Edition),Little Mix,11/11/13,1,2,224333,FALSE,0,GBHMU1300243,"girl group,pop,talent show,uk pop",0.85,0.741,6,-4.57,0,0.0918,0.00436,0.00000333,0.549,0.765,121.17,4,,Syco Music,P (P) 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited
"Just the Way It Is, Baby",The Rembrandts,The Rembrandts,The Rembrandts,8/14/90,1,1,243893,FALSE,54,USEW29000012,pop rock,0.794,0.613,3,-8.711,1,0.0295,0.329,0.00000267,0.0764,0.823,110.738,4,,Atlantic Records,"C © 1990 Atlantic Record Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 1990 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States"
The Boll Weevil Song,Brook Benton,The Best Of,Brook Benton,7/20/11,1,10,171693,FALSE,0,GBHQC0502849,"rhythm and blues,southern soul",0.795,0.144,5,-22.304,1,0.208,0.468,0.0619,0.0708,0.911,139.888,4,,P.E.R Records,
Come and Get Your Love - Radio Edit,Real McCoy,Another Night,Real McCoy,4/10/95,1,2,193880,FALSE,27,DEC739500156,"diva house,eurodance,german techno,hip house",0.737,0.864,8,-6.558,1,0.0379,0.0193,0.0000131,0.342,0.793,108.819,4,,RCA/Hansa,P (P)1995 BMG Berlin Musik GmbH
More Than a Feeling,Boston,Boston,Boston,1976,1,1,285133,FALSE,83,USSM17600941,"album rock,classic rock,glam metal,hard rock,mellow gold,rock,soft rock",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4,,Epic/Legacy,"P (P) 1976, 2006 Epic Records, a division of Sony Music Entertainment"
Straight Lines,Silverchair,Young Modern,Silverchair,3/31/07,1,2,258413,FALSE,60,AUEL00700009,"alternative metal,alternative rock,australian alternative rock,australian psych,australian rock,grunge,nu metal,post-grunge",0.543,0.655,1,-6.392,1,0.0289,0.0317,0.00237,0.109,0.165,127.471,4,,Sony Music Entertainment,P (P) 2007 Silverchair Recording Pty Ltd
Heaven (Must Be There) - 2007 Remastered,Eurogliders,The Essential,Eurogliders,3/5/07,1,4,220733,FALSE,48,AUBM00700249,"australian rock,synthpop",0.588,0.803,2,-7.713,1,0.045,0.0115,0.00468,0.0592,0.589,122.496,4,,Columbia,P This compilation (P) 2007 SONY BMG MUSIC ENTERTAINMENT (AUSTRALIA) PTY LIMITED
Wouldn't Change a Thing,Kylie Minogue,Kylie Greatest Hits,Kylie Minogue,1997,1,9,194826,FALSE,12,GBAHK0200210,"australian dance,australian pop,dance pop,eurodance,new wave pop",0.672,0.937,10,-4.913,1,0.0513,0.104,0.158,0.0522,0.844,110.167,4,,WM Australia,"C © 1997 Mushroom Records, P ℗ 1997 Mushroom Records"
Hey Mr. D.J. - Original Mix - Edit,Zhané,Pure... 90s R&B,Various Artists,3/24/14,1,3,256013,FALSE,25,USSM19303563,"contemporary r&b,r&b",0.861,0.652,2,-6.31,1,0.0636,0.0461,0.00459,0.0998,0.885,101.307,4,,Sony Music Entertainment,P This compilation (P) 2014 Sony Music Entertainment
Pretty Girl - Cheat Codes X CADE Remix,"Maggie Lindemann, CADE, Cheat Codes",Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,3/3/17,1,1,193613,TRUE,61,QMCE31700923,"alt z,dark pop,pop,pop edm,edm,pop,pop dance",0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4,,300 Entertainment,"C © 2017 300 Entertainment, P ℗ 2017 300 Entertainment"
Drive Away,The Sundance Kids,Fall Into Place (Standard),The Sundance Kids,9/4/09,1,4,195760,FALSE,22,AUWA00900276,,0.486,0.766,4,-5.575,1,0.0362,0.000165,0,0.0878,0.256,77.502,4,,WM Australia,"C © 2009 Loud & Clear Entertainment Pty Limited Marketed and Distributed under exclusive licence by Warner Music Australia Pty Limited, P ℗ 2009 Loud & Clear Entertainment Pty Limited"
